,F1 Score,Recall,Precision
Naive Bayes Baseline,0.0,0.0,0.0
Random Forest Baseline,0.1658986175115207,0.0997229916897507,0.4931506849315068
Decision Tree Baseline,0.28792569659442724,0.25761772853185594,0.3263157894736842
Logistic Regression Baseline,0.1776765375854214,0.10803324099722991,0.5
Naive Bayes RUS,0.24956217162872155,0.7894736842105263,0.1482059282371295
Random Forest RUS,0.3007600434310532,0.7673130193905817,0.18703578663065495
Logistic Regression RUS,0.3626373626373627,0.7313019390581718,0.2410958904109589
Naive Bayes SMOTE-ENN,0.40322580645161293,0.6509695290858726,0.18518518518518517
Random Forest SMOTE-ENN,0.2883435582822086,0.4155124653739612,0.391644908616188
Logistic Regression SMOTE-ENN,0.2883435582822086,0.6509695290858726,0.18518518518518517
